year,industry_code,classification,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
1995,0,SIC,1671.076563833332,45.289048766666674,59.98817426666666,2.7101719781633933,3.589792087626315
1995,1,SIC,6270.370953491669,1155.654312333331,1238.886440591665,18.43039783299906,19.757785460871155
1995,2,SIC,19626.692284616664,3469.3229486916744,3695.835301650005,17.67655445136274,18.830658004185395
1995,4,SIC,8140.795830650011,2770.1221849416634,2974.013195674999,34.02765826053741,36.532216966772104
1995,5,SIC,23128.418030008273,1410.4954030583324,1567.1729260416662,6.09853817597151,6.77596247183148
1995,6,SIC,6972.768114341661,195.1934891333334,239.29092864166685,2.799368714583487,3.431792434764765
1995,7,SIC,38249.52421716672,5404.814446916666,6341.575771475004,14.130409613019287,16.579489291082083
1995,9,SIC,5978.477644300025,1908.6974474083333,2229.5629252916615,31.926145098629178,37.2931548454875
1996,0,SIC,1778.0012532583335,37.035426166666674,44.29717034166667,2.082980880851249,2.491402650053731
1996,1,SIC,6413.61867760834,1233.3800661666676,1295.6962450833357,19.230642296722873,20.20226505836648
1996,2,SIC,19736.86829405002,3411.811962533334,3629.4218551166678,17.286491006082645,18.38904633219249
1996,4,SIC,8180.536827858333,2692.294469933336,2888.9473407500027,32.91097548470031,35.31488704887757
1996,5,SIC,23751.089959666566,1343.2013592416672,1489.396269274999,5.6553251304367675,6.270854397858161
1996,6,SIC,7071.36453229999,230.0414448916667,284.08532367500015,3.2531408024703374,4.017404595356085
1996,7,SIC,39238.29158385002,5460.423948458324,6372.657472933321,13.916059359489966,16.24091471800017
1996,9,SIC,5790.482349216681,1861.1709637916636,2153.6155765083276,32.14189857678156,37.19233470765458
1997,0,SIC,1781.9866440083351,43.05400966666667,49.65026867500001,2.4160680334742897,2.786231246005218
1997,1,SIC,6810.547683583334,1307.282148283336,1373.8561777750026,19.194963592054556,20.17247718691774
1997,2,SIC,20033.544126033354,3270.33656361667,3462.7873915583377,16.324303593226457,17.284946536536623
1997,4,SIC,8524.402474225026,2736.138481091666,2921.445414633334,32.097715814860265,34.27155655152158
1997,5,SIC,23772.73230037499,1329.4322757833343,1486.8014663416664,5.59225695635484,6.254230466887534
1997,6,SIC,7294.027199724976,216.35420401666656,264.7185687666665,2.9661831261723877,3.629251187555865
1997,7,SIC,40591.501847449996,5380.033777141679,6275.067163750018,13.254088989761433,15.459066253160142
1997,9,SIC,5724.306008300011,1827.2916839499985,2088.6785192833327,31.921628251538266,36.48789069373359
1998,0,SIC,1829.7359615083315,35.69419355833333,41.865739858333335,1.950783845823801,2.288075478596462
1998,1,SIC,7003.179415633342,1285.1890128416655,1347.2331001166663,18.35150774479248,19.237449452019035
1998,2,SIC,19821.913808466667,3137.427087791668,3328.0082687666663,15.82807350545313,16.789540611084444
1998,4,SIC,8767.401883941693,2794.7280005166667,2951.1260986333323,31.876353308674826,33.66021242893624
1998,5,SIC,24354.37518885837,1295.1576787083343,1404.7516254583336,5.317967177005808,5.7679641319682835
1998,6,SIC,7623.073202008302,205.30311238333323,256.44260644999986,2.69318038726489,3.364031797339161
1998,7,SIC,41431.04544276668,5498.283218258342,6376.192322966678,13.270925605422468,15.389890008387125
1998,9,SIC,5899.187620341655,1959.629262891669,2212.712404766663,33.218629225055494,37.50876471764959
1999,0,SIC,1821.2835091583352,56.07507537500001,63.684925541666665,3.0788767972161475,3.49670576938882
1999,1,SIC,7281.083029025039,1420.3962342749992,1478.4205999833325,19.508035118028243,20.30495455263745
1999,2,SIC,19408.218161983365,3036.693416241668,3226.5947055416696,15.646430758852011,16.624888893004577
1999,4,SIC,8943.990420708325,2795.0374545166646,2966.7763759,31.250452237126947,33.17061218034091
1999,5,SIC,24771.673292708372,1290.9804332416652,1421.069687016663,5.2115188909005585,5.736672166732313
1999,6,SIC,7780.1878127416685,200.99836900833327,244.29887458333337,2.5834642279349196,3.1400125609210026
